"","logFC","logCPM","LR","PValue","FDR"
"FBgn0085259",3.45209716067278,0.701862636814632,28.8716503202184,7.73365925704443e-08,1.36859700335337e-05
"FBgn0034737",1.6871322482624,2.68574793143408,28.831900128591,7.89401602903562e-08,1.37200779292621e-05
"FBgn0264391",3.44971897159369,0.818562174520275,28.8133811869335,7.96985704019047e-08,1.37200779292621e-05
"FBgn0037454",2.94892690737378,4.5523585200152,28.8026187336669,8.01426774280704e-08,1.37200779292621e-05
"FBgn0051286",2.48795874577218,3.30580971691369,28.7703601534004,8.14887214244349e-08,1.3800509273493e-05
"FBgn0033893",2.7447507464731,2.13078134360401,28.6673506352037,8.59405165065799e-08,1.43996078189216e-05
"FBgn0038000",1.50007114767476,3.62703946564265,28.6350211085761,8.73873455697662e-08,1.44879020286718e-05
"FBgn0050099",2.04372671478321,1.21883238899775,28.6044884609995,8.87761635032828e-08,1.45648393247573e-05
"FBgn0031920",2.11902170974895,4.64761955432041,28.5279736803842,9.23544829273479e-08,1.49957021248013e-05
"FBgn0262010",3.80529787351228,1.66552936671581,28.4581621305253,9.57452685560531e-08,1.53876324465085e-05
"FBgn0284082",2.20525303210574,3.31897375433118,28.3832747448807,9.95214066175731e-08,1.57291685006495e-05
"FBgn0033283",3.25853124697402,3.9872584427725,28.3578943986728,1.00834762525329e-07,1.57291685006495e-05
"FBgn0052657",2.53110568284133,4.39140973381129,28.3572868383233,1.00866413877181e-07,1.57291685006495e-05
"FBgn0053319",2.9710693873021,3.33498610547705,28.3218677673254,1.02728911055987e-07,1.57732227350262e-05
"FBgn0039498",2.35430978178005,3.5639393732478,28.3139140624889,1.03151869314775e-07,1.57732227350262e-05
"FBgn0053060",3.90698814268958,2.79056771019086,28.2565999756717,1.06251727486766e-07,1.60910068068901e-05
"FBgn0032364",2.84440695182104,3.41224717768059,28.1763535961993,1.10749374239269e-07,1.66124061358903e-05
"FBgn0038248",2.74567786824592,6.02638506155632,28.1084091015019,1.14706372877826e-07,1.70024257203455e-05
"FBgn0052228",3.83308190697892,2.02207513706428,28.05737069838,1.17771700182047e-07,1.70024257203455e-05
"FBgn0040859",2.51846615890798,6.14767701086173,28.0365569572632,1.1904519910453e-07,1.70024257203455e-05
"FBgn0037276",1.58232974295446,3.4154295500401,28.0341964650399,1.19190495475439e-07,1.70024257203455e-05
"FBgn0030384",3.87995856693723,2.14026017819886,28.0193985163843,1.20105417666762e-07,1.70024257203455e-05
"FBgn0039855",1.46286182125845,2.8052612238696,28.0098012085955,1.20702555596994e-07,1.70024257203455e-05
"FBgn0033864",3.28484671285216,3.78961473805735,28.0065400611092,1.2090613845579e-07,1.70024257203455e-05
"FBgn0035943",4.79757811986818,1.67453500236948,27.9637685132235,1.23608298317542e-07,1.72285902522238e-05
"FBgn0038921",1.90844626682405,4.45456235521626,27.8731301444759,1.29536216854994e-07,1.7896451012861e-05
"FBgn0031690",1.46498808787302,4.270457077708,27.8380572864092,1.31905765775555e-07,1.80653548779565e-05
"FBgn0030622",3.63269149883236,2.39098751707662,27.8091514305025,1.33891286164753e-07,1.81792048025419e-05
"FBgn0035047",0.94043792622491,6.4033408188331,27.7867099964525,1.35453400903223e-07,1.82341116600493e-05
"FBgn0033542",2.14242996996506,4.67525234071164,27.7326876060882,1.39289136726766e-07,1.84802411544825e-05
"FBgn0025111",1.57975859893831,4.61281878427027,27.7279801824967,1.39628488722757e-07,1.84802411544825e-05
"FBgn0250822",3.61911142599613,2.33875240429913,27.6358937642342,1.46436064035543e-07,1.92197334046651e-05
"FBgn0265728",6.79901832398665,0.9928205730336,27.5766743318498,1.50988658781838e-07,1.96534824447434e-05
"FBgn0052087",3.24543338679379,1.73499439240917,27.5293470162579,1.54728800584731e-07,1.99752345017173e-05
"FBgn0037994",3.36530898640019,3.96385001774166,27.4452480628992,1.61605471846361e-07,2.06933835900829e-05
"FBgn0037812",3.08573720000984,0.223090792046453,27.4248848922151,1.63316099498559e-07,2.07437787669541e-05
"FBgn0051029",2.41656245766262,6.2351525022538,27.3577270436012,1.69087429784904e-07,2.0805856652756e-05
"FBgn0031721",3.39139967663031,2.38414096795914,27.3515666979306,1.69626957403502e-07,2.0805856652756e-05
"FBgn0038656",3.77405473513868,1.85235898388118,27.3450402432403,1.70200431442255e-07,2.0805856652756e-05
"FBgn0034505",1.34899465918382,4.24053014750634,27.3438872017571,1.70301950001758e-07,2.0805856652756e-05
"FBgn0036224",2.195800608505,2.76545073670236,27.3405162039363,1.7059909483988e-07,2.0805856652756e-05
"FBgn0051161",1.27825775822235,4.44643145961369,27.3277301874348,1.71730880308462e-07,2.0805856652756e-05
"FBgn0033819",2.32368070038039,3.82673805464165,27.3028866152247,1.73951530782335e-07,2.09140199223036e-05
"FBgn0038373",1.81672953797102,6.23869101483378,27.1601252846895,1.87281764993326e-07,2.23461196867037e-05
"FBgn0037101",2.74491664160755,4.32490777495043,27.1356198692797,1.89670794610539e-07,2.24106971258272e-05
"FBgn0038078",3.74284462139284,2.42214184354772,27.1254744513685,1.90668788245133e-07,2.24106971258272e-05
"FBgn0036031",1.23029497171467,3.90038370116619,27.0170768780229,2.01665928011894e-07,2.35276916013877e-05
"FBgn0051010",3.26796638560466,3.78233426502694,26.9916210822589,2.04339323272125e-07,2.3664296628941e-05
"FBgn0064912",2.83633771527676,4.96157877087567,26.962567935174,2.07433949042741e-07,2.38473335578334e-05
"FBgn0028848",3.29907566417861,4.80580009281682,26.9456786993783,2.09254468564353e-07,2.38823034774533e-05
"FBgn0034739",2.54516150757887,2.8085625206823,26.9275747508363,2.11223711033722e-07,2.39026491308171e-05
"FBgn0038993",1.81731769664644,3.18647337451481,26.9162226373443,2.12467992273929e-07,2.39026491308171e-05
"FBgn0262354",2.06398768165098,1.02616778438728,26.8626378828044,2.18441218030214e-07,2.44003488225239e-05
"FBgn0023090",1.37378290221984,3.9265853290757,26.8292122425074,2.22252205388984e-07,2.46512129216654e-05
"FBgn0032448",1.83587194317752,2.73038278143164,26.80446751956,2.25116311203185e-07,2.479427903112e-05
"FBgn0027376",2.05001281343563,4.75943758155186,26.7284586617286,2.34147467669542e-07,2.56098792763562e-05
"FBgn0032637",1.88623131465756,4.58161603874683,26.6935161582265,2.3842022131199e-07,2.58973688666472e-05
