"","logFC","logCPM","LR","PValue","FDR"
"FBgn0013680",2.09048549118299,8.8785493111852,66.2692949821933,3.93338461927188e-16,6.19508077535321e-12
"FBgn0013683",-4.53276118706343,3.18859224214645,62.9024070594729,2.17206617556398e-15,1.71050211325664e-11
"FBti0062695",11.9414079497528,5.41393712380169,37.6332998559341,8.5374485620936e-10,4.48216049509914e-06
"RR48408_transposable_element",3.61969631650958,-0.771005838684185,34.1687274578895,5.05345618827297e-09,1.98979837413248e-05
"FBgn0013689",2.05192034202487,0.452972070443704,30.9853026199616,2.59989770691217e-08,8.18967777677334e-05
"FBgn0022700",7.46418713778323,4.72882319262775,29.0816152980053,6.93923774549075e-08,0.000182154990819132
"FBgn0033787",4.17004472032094,5.69493194026321,28.167524540858,1.11255732002396e-07,0.000250325397005392
"FBgn0263762",4.68086477313079,5.30901665012223,24.048840235577,9.39228162148846e-07,0.00184910544423054
"FBgn0033789",5.57833815516381,4.25211386967151,23.7812719050199,1.07927497755507e-06,0.00188873121072137
"FBgn0004045",-2.36373888159104,12.0846764397974,23.5463627745071,1.21939718081867e-06,0.00192055055978941
"FBgn0005391",-2.32254044858811,12.4412533950731,23.1307451535914,1.51351195314126e-06,0.0021670739329068
"FBgn0033788",4.40496544398952,7.30083686084849,22.3590227004514,2.26148065764658e-06,0.00296819336316114
"FBgn0264991",5.35409783511204,4.21504986634187,21.2275930642721,4.07850432856459e-06,0.0049412648596071
"FBgn0036766",4.7482018805727,6.66505317266864,20.9479104427459,4.71942318257683e-06,0.00530935108039893
"FBgn0035325",6.83906477648804,2.35039967952012,20.7866454566533,5.1339714891265e-06,0.00539067006358283
"FBgn0039670",4.33067599013575,5.43555978885636,20.4564362027619,6.10040620159482e-06,0.0060050873546949
"FBgn0031277",5.62939158420672,3.70188630625948,20.0351172669969,7.60329606226579e-06,0.00704423017533448
"FBgn0034471",1.35616913959041,0.321492079862746,19.9076445032591,8.127468987703e-06,0.00711153536424012
"FBti0019055",-6.2841491873018,1.34371860034584,19.5450358014005,9.82557271903091e-06,0.00814488264867036
"FBgn0262952",0.966299228092135,10.6720749391611,19.1576013977678,1.20357237692641e-05,0.00947813246829551
"FBgn0004429",4.27742763078912,7.13305726319185,18.8951765219393,1.38101413708269e-05,0.0103576060281202
"FBgn0034582",3.54659650163599,2.22757379434506,18.5683781696317,1.63917201873323e-05,0.0115092359791299
"FBgn0036419",2.80430939842846,4.784286075715,18.5206731296348,1.68071382552374e-05,0.0115092359791299
"FBgn0036362",8.66792366928361,7.12054582269541,18.1182068596753,2.0760682814812e-05,0.0135587924435099
"FBgn0002578",3.48921844278269,4.31289059744457,18.0496436089106,2.1521892767476e-05,0.0135587924435099
"FBgn0013697",-2.55025462117067,-0.845779726838876,17.5125890932574,2.85411569467807e-05,0.0171584909484441
"FBgn0004431",3.19645123832795,1.93398879589561,17.4522293940803,2.94618568296718e-05,0.0171584909484441
"FBgn0031514",5.09003393055943,3.77117805050872,17.38615518792,3.0503983908345e-05,0.0171584909484441
"FBgn0033271",2.8625463724178,4.92502651908586,17.2134204709604,3.34068034802902e-05,0.0181433501660197
"FBgn0034563",5.08661059161943,1.29248059390762,16.7319547566254,4.30497641905181e-05,0.022601126200022
"FBgn0037563",5.77961262706028,5.58592585254574,16.6397426915875,4.51940424424228e-05,0.0229614893054245
"FBgn0286723",-1.46633246584138,3.2464732979662,16.0519931695649,6.16267226629631e-05,0.0303319025606771
"FBgn0013681",1.34790581494082,6.96767654090868,15.3735474883205,8.82146351744492e-05,0.042102439515078
"FBgn0051077",6.44896027647636,7.61765344056647,15.1783191867681,9.78201221217829e-05,0.0450269820972128
"FBgn0034871",6.36072855261228,8.50209613700036,15.1355735259359,0.000100059960216029,0.0450269820972128
